text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
operating a camera in a public place. told to stop/leave at 15:18 “you can’t record this” tyrant cop shutdown albuquerque nm - first amend... https://youtu.be/nkkvvtpgre8 via ,2020-07-30 23:59:34+00:00,,,1288987634186952705,@YouTube,https://twitter.com/yeomalt/status/1288987634186952705,1,0,,https://youtu.be/NKkvvtPgrE8
"lessons learned? anytime there is a plane crash, or an industrial accident, a thorough investigation takes place. lessons learned are used to prevent future accidents. any similar effort after a big drug bust?",2020-07-30 23:43:53+00:00,,,1288983685102936065,,https://twitter.com/yeomalt/status/1288983685102936065,0,0,,https://oakbaystarfish.com/2020/07/30/always-reported-as-a-highly-successful-team-effort-the-big-puget-sound-drug-bust/
"the freedom talk is just for federal holidays and overseas military operations. from 2000 and 2016, homeland security used civil asset forfeiture to seize $2 billion in cash from travelers in u.s. airports https://reason.com/2020/07/30/homeland-security-seized-2-billion-in-cash-from-travelers-at-u-s-airports/ via ",2020-07-30 23:41:46+00:00,,,1288983152300441600,@reason,https://twitter.com/yeomalt/status/1288983152300441600,1,0,,https://reason.com/2020/07/30/homeland-security-seized-2-billion-in-cash-from-travelers-at-u-s-airports/
"why is ordering a beer at 9 p.m. not a risk to public safey, at 10:01 p.m. it places the public at risk? what time zone does the coronavirus operate on?",2020-07-30 23:07:43+00:00,,,1288974582221742081,,https://twitter.com/yeomalt/status/1288974582221742081,1,0,WADeptHealth,https://oakbaystarfish.com/2020/07/25/alcohol-sales-must-end-at-10-p-m/
"the idea is to eliminate police abuse, not eliminate police.",2020-07-30 22:55:06+00:00,,,1288971410812018689,,https://twitter.com/yeomalt/status/1288971410812018689,0,0,Q13FOX,https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/
several whidbey beaches remain closed all year long for recreational shellfish harvest because of sewage treatment outfall. sewage treatment outfall. not stormwater. reporting on this topic appears to be completely off limits to the press.,2020-07-30 22:53:43+00:00,,,1288971060411379712,,https://twitter.com/yeomalt/status/1288971060411379712,0,0,Q13FOX,https://oakbaystarfish.com/2020/04/24/whidbey-signs-of-water-quality/
"why no resignation from seattle police chief carmen best when she is told to do her job without the tools needed to protect the safety of her officers, the general public, and protestors? https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/",2020-07-30 22:47:57+00:00,,,1288969611442941953,,https://twitter.com/yeomalt/status/1288969611442941953,0,0,BrandiKruse,https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/
"lessons learned? anytime there is a plane crash, or an industrial accident, a thorough investigation takes place. lessons learned are used to prevent future accidents. any similar effort after a big drug bust? https://oakbaystarfish.com/2020/07/30/always-reported-as-a-highly-successful-team-effort-the-big-puget-sound-drug-bust/",2020-07-30 22:39:03+00:00,,,1288967371319779328,,https://twitter.com/yeomalt/status/1288967371319779328,0,0,,https://oakbaystarfish.com/2020/07/30/always-reported-as-a-highly-successful-team-effort-the-big-puget-sound-drug-bust/
always reported as a highly successful team effort – the big puget sound drug bust http://oakbaystarfish.com/2020/07/30/always-reported-as-a-highly-successful-team-effort-the-big-puget-sound-drug-bust/,2020-07-30 22:32:29+00:00,,,1288965719007416322,,https://twitter.com/yeomalt/status/1288965719007416322,0,0,,http://oakbaystarfish.com/2020/07/30/always-reported-as-a-highly-successful-team-effort-the-big-puget-sound-drug-bust/
alternative/independent media. out asking questions: bonner county library board admits to not holding public meeting https://youtu.be/oboeqfickic via ,2020-07-30 21:52:07+00:00,,,1288955556770623488,@YouTube,https://twitter.com/yeomalt/status/1288955556770623488,0,0,,https://youtu.be/oBOEqFICKIc
https://oakbaystarfish.com/2020/07/25/alcohol-sales-must-end-at-10-p-m/,2020-07-30 18:57:23+00:00,,,1288911587110092800,,https://twitter.com/yeomalt/status/1288911587110092800,0,0,,https://oakbaystarfish.com/2020/07/25/alcohol-sales-must-end-at-10-p-m/
not an emergency before 10p.m. update:,2020-07-30 18:56:37+00:00,,,1288911391395467264,,https://twitter.com/yeomalt/status/1288911391395467264,1,0,WEWS,https://twitter.com/WEWS/status/1288907567037665280
,2020-07-30 16:32:27+00:00,,,1288875110988832768,,https://twitter.com/yeomalt/status/1288875110988832768,0,0,,https://oakbaystarfish.com/2020/07/29/cartels-responding-to-general-milley-newspeople-remain-silent/
"border wall update: ""customs investigators found the drugs mainly came from mexico and the united states, and were hidden in packages that had been legitimately declared."" christchurch woman allowed meth to be delivered to her home",2020-07-30 16:31:46+00:00,,,1288874939966087168,,https://twitter.com/yeomalt/status/1288874939966087168,1,0,,https://www.stuff.co.nz/national/crime/122299307/christchurch-woman-allowed-meth-to-be-delivered-to-her-home
https://oakbaystarfish.com/2020/07/29/cartels-responding-to-general-milley-newspeople-remain-silent/,2020-07-30 15:36:58+00:00,,,1288861148104687616,,https://twitter.com/yeomalt/status/1288861148104687616,0,0,,https://oakbaystarfish.com/2020/07/29/cartels-responding-to-general-milley-newspeople-remain-silent/
,2020-07-30 15:36:33+00:00,,,1288861045675548672,,https://twitter.com/yeomalt/status/1288861045675548672,1,0,,https://oakbaystarfish.com/2020/07/15/4-stories-the-puget-sound-press-will-not-question-or-report-on/
,2020-07-30 15:36:12+00:00,,,1288860954348761089,,https://twitter.com/yeomalt/status/1288860954348761089,1,0,,https://oakbaystarfish.com/2020/05/28/port-angeles-blaine-drug-war-scam-zero-questions-from-the-press/
any word on how the 436 pounds of meth made it into wa before the attempted transport into canada? blaine man charged with smuggling meth in one of largest border drug busts,2020-07-30 15:35:29+00:00,,,1288860775210053632,,https://twitter.com/yeomalt/status/1288860775210053632,1,0,,"https://www.thenorthernlight.com/stories/blaine-man-charged-with-smuggling-meth-in-one-of-largest-border-drug-busts,11092#.XyLoSXggOW8.twitter"
,2020-07-30 15:04:28+00:00,,,1288852971162185735,,https://twitter.com/yeomalt/status/1288852971162185735,0,0,,https://oakbaystarfish.com/2020/07/02/central-planning-and-essential-travel/
central planning and essential travel,2020-07-30 15:03:48+00:00,,,1288852803046141953,,https://twitter.com/yeomalt/status/1288852803046141953,1,0,,https://www.goskagit.com/anacortes/news/winter-schedule-summer-traffic-delaying-ferry-boats/article_06b09aa2-d121-11ea-97d4-1b7b9bc21f00.html
"how long before a $51.6 billion us dept. of homeland security with the world's most powerful dept. of defense out front, is able to keep meth and heroin from entering spokane county?",2020-07-30 14:55:44+00:00,,,1288850771920879617,,https://twitter.com/yeomalt/status/1288850771920879617,0,0,kxly4news,https://www.youtube.com/watch?v=CBFvlzVZ9og&feature=emb_logo
,2020-07-30 14:45:58+00:00,,,1288848315736457222,,https://twitter.com/yeomalt/status/1288848315736457222,0,0,,https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/
"why no resignation from seattle police chief carmen best when she is told to do her job without the tools needed to protect the safety of her officers, the general public, and protestors?",2020-07-30 14:45:39+00:00,,,1288848236447318016,,https://twitter.com/yeomalt/status/1288848236447318016,1,0,,https://www.buzzfeedzz.com/en-us/video/other/seattle-residents-slam-defund-the-police-as-radical-experiment-during-city-budget-meeting/ZZ17lHqc
why no resignation from washington state patrol chief john r. batiste when his agency is told to pull back and place public safety at risk by yielding to protests on i-5? https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/,2020-07-30 09:12:18+00:00,,,1288764342649856001,,https://twitter.com/yeomalt/status/1288764342649856001,0,0,,https://oakbaystarfish.com/2020/07/28/too-many-extremes-more-honesty-no-le-resignations/
